geneID	symbol	ZT0_R1	ZT4_R1	ZT8_R1	ZT12_R1	ZT16_R1	ZT20_R1	ZT0_R2	ZT4_R2	ZT8_R2	ZT12_R2	ZT16_R2	ZT20_R2
FBgn0266820	lncRNA:CR45282	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0014931	CG2678	2.630100	2.290840	1.968900	2.300710	1.408600	1.321530	2.405780	1.638880	1.834710	1.898320	1.529550	1.100370
FBgn0014930	CG2846	29.529000	21.110200	20.522700	24.882400	21.376600	18.884400	29.478400	20.488500	20.295900	21.083700	25.499300	19.137400
FBgn0003254	rib	0.348121	0.459215	0.233258	0.194733	0.269912	0.149167	0.278840	0.464171	0.226329	0.318656	0.140463	0.350161
FBgn0264483	asRNA:CR43891	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0027562	CG10345	15.978300	19.120800	26.129300	29.683700	18.679800	26.569800	18.896100	19.565700	26.409400	28.959700	20.994600	23.412700
FBgn0027563	CG9631	20.488300	24.717500	23.027300	16.874900	18.408400	14.676800	19.632600	21.827500	19.003100	17.364900	12.068800	15.300100
FBgn0027560	Tps1	238.421000	391.365000	343.828000	320.587000	291.673000	281.961000	232.150000	320.170000	298.442000	338.579000	199.115000	330.855000
FBgn0027561	CG18659	25.496400	27.620400	26.128300	20.849000	23.195000	24.171200	23.571300	25.792000	24.455800	24.274800	19.323000	23.991600
FBgn0036173	CG7394	144.540000	150.108000	172.227000	149.880000	151.239000	110.978000	168.918000	132.875000	196.501000	132.065000	112.780000	132.136000
FBgn0027567	CG8108	29.943600	30.912200	23.002100	15.492000	27.374100	20.057500	25.831700	33.468900	20.402300	17.478200	18.424200	21.653000
FBgn0027564	CG3149	5.088000	4.265910	5.526100	4.663190	3.847280	4.926970	4.403540	5.201720	4.204990	4.287990	5.573820	4.651420
FBgn0027565	CG5498	15.504700	15.471400	12.651800	9.255770	14.931900	11.567200	14.613100	14.804400	12.214700	10.124000	10.772500	12.973300
FBgn0027568	Cand1	20.109700	18.607300	20.579600	20.210000	20.345500	22.149300	19.146700	18.689100	19.424200	20.215900	20.444600	22.799100
FBgn0027569	cert	15.955300	20.014600	16.439000	14.087200	18.973200	16.283100	17.851800	19.812600	19.404300	16.094800	18.250000	19.135200
FBgn0266044	lncRNA:CR44809	6.848030	2.994020	2.110520	2.756930	4.453350	6.335530	3.272420	1.482290	2.891040	2.374390	5.582080	3.743570
FBgn0266045	lncRNA:CR44810	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0266046	lncRNA:CR44811	0.761497	0.558073	0.445449	1.467230	0.562304	0.652597	1.067410	0.628563	0.471507	0.473301	0.682797	0.943574
FBgn0266047	CG44812	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0266040	lncRNA:CR44805	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0266041	asRNA:CR44806	0.780327	0.000000	0.207484	0.000000	0.480173	0.278639	0.000000	0.495457	0.000000	0.220456	0.000000	0.284384
FBgn0266042	asRNA:CR44807	0.097371	0.000000	0.077671	0.022695	0.000000	0.000000	0.073119	0.069552	0.018841	0.041264	0.027284	0.026615
FBgn0266043	lncRNA:CR44808	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.342162	0.000000	0.000000	0.000000
FBgn0266048	lncRNA:CR44813	0.575185	0.431102	0.625654	0.390000	0.723967	0.728190	0.523542	0.697209	0.930835	0.443182	0.234427	0.400187
FBgn0266049	lncRNA:CR44814	0.000000	0.000000	0.263134	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0040354	CG14418	0.000000	0.041832	0.109317	0.000000	0.000000	0.097247	0.000000	0.000000	0.035456	0.000000	0.000000	0.000000
FBgn0085218	CG34189	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0085219	CG34190	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0040355	CG3526	0.000000	0.145378	0.236187	0.110438	0.163998	0.190380	0.118648	0.199732	0.184326	0.000000	0.199135	0.000000
FBgn0259482	Mob3	88.401000	69.662000	77.086100	81.457200	70.599000	70.196800	92.707600	62.199400	78.723600	71.434000	88.365200	66.015500
FBgn0262272	mir-1002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0085210	CG34181	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0085211	RpS28-like	0.000000	0.291373	0.000000	0.593084	0.293588	0.000000	0.318466	0.302933	0.000000	0.000000	0.000000	0.695514
FBgn0085212	CG34183	7.245570	4.473000	5.277060	5.580450	7.705540	9.617980	6.308280	5.250670	5.242190	5.740510	9.533270	11.710400
FBgn0085213	CG34184	0.305204	0.000000	0.000000	0.000000	0.093904	0.108982	0.305582	0.000000	0.078741	0.000000	0.228052	0.000000
FBgn0085214	CG34185	0.210026	0.384791	0.000000	0.000000	0.193859	0.000000	0.000000	0.400058	0.000000	0.000000	0.470799	0.459253
FBgn0040353	CG14417	0.057808	0.158788	0.368712	0.161620	0.000000	0.247646	0.057913	0.110057	0.134214	0.195905	0.194294	0.063216
FBgn0266101	CG44838	20.530700	16.436100	17.009200	17.621000	15.481300	17.908500	20.160400	16.491300	15.247500	16.087100	23.182900	16.775000
FBgn0033434	CG1902	27.884300	32.173700	26.513100	23.255800	27.402300	23.098200	25.713900	32.685600	26.487700	25.348900	24.005100	26.083900
FBgn0033437	CG12926	10.083700	7.774340	10.190900	8.337650	8.044030	7.771620	8.999750	7.908960	7.345500	8.121090	8.642670	7.433000
FBgn0266102	CR44839	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0033431	CG1827	4.311570	3.025260	3.475840	2.608540	3.302310	2.555040	3.811730	3.756870	3.195070	2.915660	2.004960	2.657880
FBgn0036110	Cpr67Fb	0.000000	0.000000	0.000000	0.571361	0.754227	0.000000	0.204534	0.000000	0.000000	0.346280	1.602730	0.223347
FBgn0036112	CG14147	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0040351	CG11638	24.848200	28.660500	30.082500	25.435800	31.584800	28.384600	31.207400	28.581200	32.285800	29.885400	37.552200	33.316700
FBgn0033439	CG1773	3.346090	3.792550	3.166730	5.816180	3.559650	5.103300	3.463790	2.700700	2.940970	4.422220	5.339470	4.898490
FBgn0033438	Mmp2	19.487500	27.484100	25.151800	22.052200	25.248100	25.773600	21.290900	25.536600	27.966800	24.501900	22.148000	26.095200
FBgn0040752	Prosap	18.236000	16.204000	17.693400	15.521100	15.817900	13.435500	16.108500	16.105600	17.989400	14.276100	16.996500	15.163300
FBgn0015553	tos	0.573284	1.072200	0.971760	0.445399	0.926021	1.279430	0.884906	0.432248	0.831958	0.708589	0.883499	0.783484
FBgn0015550	tap	0.271065	0.148987	0.216223	0.176902	0.250199	0.261338	0.244260	0.283979	0.167839	0.344613	0.364576	0.296363
FBgn0040751	CG13018	15.845700	13.977900	7.958360	13.678800	11.917400	11.945000	14.396200	7.266250	7.721930	9.450780	12.826700	7.699770
FBgn0040754	CG17059	85.039300	58.695500	52.613800	54.685400	52.618400	55.516100	91.276100	53.396500	54.696700	55.503700	52.804800	50.737100
FBgn0040755	CG17580	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0015558	tty	24.103200	25.664400	26.655400	23.352900	26.624200	25.519600	28.527900	27.058200	27.146900	25.274300	29.972900	30.479000
FBgn0040759	CG13177	0.358161	0.109367	0.464808	0.445230	0.440274	0.127894	0.119536	0.114754	0.259358	0.102161	0.400777	0.000000
FBgn0010043	GstD7	0.000000	0.086310	0.000000	0.000000	0.000000	0.201861	0.000000	0.179468	0.291694	0.239566	0.105602	0.000000
FBgn0038247	Cad88C	0.239705	0.358653	0.344173	0.439509	0.191753	0.222544	0.216001	0.395712	0.445264	0.446958	0.214932	0.192189
FBgn0038246	CG14853	42.266100	42.701600	39.226400	38.382700	46.115900	44.636000	49.744800	41.284600	42.948000	41.993700	44.420900	44.419000
FBgn0038244	CG7987	12.329200	9.262780	9.750550	9.393670	9.107030	11.480500	10.501400	9.972400	9.309820	9.213370	9.479970	10.758000
FBgn0038243	CG8066	53.196500	33.452200	36.806700	42.392900	30.657600	45.227100	45.646100	36.709800	38.751600	33.732100	54.062900	37.799900
FBgn0038242	CG14852	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0038241	CG8087	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.143530	0.000000	0.000000	0.000000
FBgn0038240	CG14851	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0051233	CG31233	0.019051	0.000000	0.015196	0.000000	0.035173	0.000000	0.076311	0.036292	0.029493	0.000000	0.000000	0.020829
FBgn0029170	TwdlT	4.611540	6.302580	2.907220	4.299380	5.011750	4.820540	4.431060	8.429880	4.519120	2.805310	2.584340	5.733150
FBgn0038248	CG7886	0.064653	0.103645	0.077358	0.090415	0.119352	0.086573	0.080916	0.000000	0.062550	0.068496	0.072464	0.053015
FBgn0033573	Obp47a	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.157144	0.000000	0.000000
FBgn0033574	Spn47C	83.229700	87.978600	90.392200	90.664200	84.994400	97.221300	80.316400	82.672400	89.184200	92.493600	77.318100	91.477100
