symbol	ZT0_R1	ZT4_R1	ZT8_R1	ZT12_R1	ZT16_R1	ZT20_R1	ZT0_R2	ZT4_R2	ZT8_R2	ZT12_R2	ZT16_R2	ZT20_R2
lncRNA:CR45282	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CG2678	2.201440	2.306260	2.655270	2.651230	1.663310	1.969860	2.243100	1.673560	3.181270	2.078300	2.947430	2.127050
CG2846	16.570900	14.476300	15.943100	21.585000	15.199600	15.530300	18.535200	14.598400	19.004400	15.728700	17.251600	13.126300
rib	0.331632	0.365921	0.251556	0.271264	0.265685	1.848930	0.382152	0.382180	0.229368	0.322934	0.194495	0.283699
asRNA:CR43891	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CG10345	31.427600	29.423000	42.421700	42.807600	34.690400	38.722400	28.594000	35.522200	39.842800	36.171400	35.005100	40.015300
CG9631	10.822800	13.070100	15.536400	7.967700	12.580300	10.570100	13.203500	14.147700	16.054900	14.808300	12.143300	13.908100
Tps1	218.481000	301.432000	303.559000	165.405000	249.370000	254.066000	254.456000	309.179000	309.344000	262.843000	212.378000	301.560000
CG18659	18.279400	19.863800	18.221200	14.023900	14.863400	17.496600	18.992300	20.639700	17.194400	15.205000	14.725100	17.319800
CG7394	136.370000	131.218000	165.328000	102.012000	107.889000	70.202600	157.016000	153.993000	129.413000	140.477000	69.977800	98.685700
CG8108	22.649600	21.572500	17.534300	12.151300	21.560400	18.636500	25.425600	20.031600	15.250100	20.982100	14.964400	22.717700
CG3149	3.765330	3.728210	3.908400	2.613260	3.464000	4.280330	3.346010	3.920850	3.264620	3.706560	3.680500	2.799010
CG5498	11.847300	9.622670	9.777810	8.035360	10.803700	10.203500	12.427000	12.303100	9.086830	10.200100	10.957100	12.779400
Cand1	16.575800	15.050600	15.342500	15.783700	16.285700	17.828000	14.874100	14.960400	17.012000	14.229200	17.779400	16.867800
cert	14.256500	14.037000	12.408800	13.646700	13.645700	15.249300	12.252600	14.261900	11.601700	15.326200	12.592400	13.608100
lncRNA:CR44809	1.140500	0.923519	1.627780	1.155010	0.625167	1.918930	1.031000	0.906094	0.404782	0.577504	1.086940	1.377690
lncRNA:CR44810	0.443522	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
lncRNA:CR44811	0.651026	0.301238	0.096538	0.470933	0.305880	0.385199	0.576511	0.548902	0.440114	0.470933	0.649995	0.539259
CG44812	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
lncRNA:CR44805	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
asRNA:CR44806	0.238511	0.000000	0.741935	0.000000	0.000000	0.741974	0.246153	0.648992	0.676601	0.241289	0.908313	0.460494
asRNA:CR44807	0.000000	0.000000	0.046290	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021548
lncRNA:CR44808	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
lncRNA:CR44813	0.431072	0.310276	0.447452	0.242531	0.420076	0.347148	0.643291	0.478377	0.725308	0.436556	0.669496	0.185146
lncRNA:CR44814	0.000000	0.000000	0.000000	0.612015	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CG14418	0.082364	0.038733	0.043495	0.000000	0.000000	0.000000	0.000000	0.038019	0.000000	0.000000	0.000000	0.000000
CG34189	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CG34190	0.000000	0.000000	0.000000	0.000000	0.000000	0.220658	0.220174	0.000000	0.000000	0.000000	0.000000	0.051487
CG3526	0.108603	0.000000	0.056339	0.109908	0.000000	0.168559	0.075174	0.000000	0.051369	0.109858	0.000000	0.070286
Mob3	70.533000	57.979000	66.919700	78.389000	59.822000	64.101800	66.118900	66.488200	65.289100	59.900400	72.677700	61.976700
mir-1002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CG34181	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
RpS28-like	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.295059	0.000000	0.000000
CG34183	6.781330	6.676180	4.043600	6.137010	7.434390	10.009000	6.558680	5.764080	4.233300	4.091240	6.417040	10.457200
CG34184	0.186377	0.000000	0.000000	0.000000	0.000000	0.000000	0.096276	0.000000	0.264593	0.094374	0.000000	0.090055
CG34185	0.000000	0.000000	0.000000	0.194830	0.632727	0.000000	0.397513	0.000000	0.182079	0.000000	0.244463	0.371827
CG14417	0.105963	0.440811	0.219778	0.053638	0.232087	0.109662	0.218775	0.288342	0.350663	0.107197	0.269084	0.000000
CG44838	22.518200	24.080600	19.153600	23.984100	20.055400	22.947300	21.644400	20.894200	21.274800	17.419300	20.276600	18.775200
CG1902	29.033800	27.944600	24.440400	22.431700	27.588300	21.805000	29.256600	29.941200	24.017100	27.471600	21.287700	25.318700
CG12926	6.728940	5.840360	5.119160	6.137310	5.406710	3.894680	5.742860	5.388630	5.933440	5.502420	7.435260	5.129440
CR44839	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CG1827	1.722610	1.477500	1.482800	0.851049	2.118790	1.348560	2.083520	1.411470	1.312230	2.382780	1.708430	1.908320
Cpr67Fb	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.193321	0.000000	0.000000	0.000000	0.237777	0.000000
CG14147	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.082657
CG11638	43.544800	42.809100	39.022300	49.721000	43.721800	39.868300	40.568700	42.862900	40.935400	40.736100	40.829100	39.670300
CG1773	3.376690	2.980660	3.127540	2.788330	2.335030	5.486400	3.166550	3.396100	4.130020	3.945750	4.488850	4.919830
Mmp2	21.006300	21.510700	20.190300	19.112100	23.675000	21.722000	19.956900	22.240200	19.526500	21.621200	19.453500	22.186500
Prosap	15.244000	14.763000	16.992400	17.336400	16.481300	12.031500	16.286600	14.860500	16.081100	17.625600	14.482700	13.503300
tos	0.503245	0.688450	0.613214	0.465330	0.599683	0.770264	0.542524	0.496662	0.724794	0.686915	0.917515	0.570902
tap	0.049659	0.045956	0.051546	0.176017	0.027221	0.282793	0.051304	0.157810	0.070499	0.050291	0.157755	0.095978
CG13018	12.901800	7.213560	4.743020	4.627520	7.661490	8.349100	8.053110	5.369100	4.579070	7.621790	9.221910	12.727700
CG17059	58.691000	49.921800	48.154600	36.274400	50.386300	50.938500	51.941700	49.958800	50.238000	36.930000	43.870700	48.376700
CG17580	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054810	0.000000	0.000000
tty	33.967800	34.942000	30.146800	35.834400	32.044500	31.110100	31.604000	32.698500	31.437000	28.922400	29.491500	31.149500
CG13177	0.109358	0.102136	0.000000	0.000000	0.116948	0.000000	0.000000	0.096857	0.000000	0.000000	0.138964	0.051544
GstD7	0.000000	0.079868	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Cad88C	0.124422	0.331884	0.250703	0.192713	0.128380	0.121249	0.090737	0.345558	0.277079	0.252010	0.111603	0.099020
CG14853	59.457700	58.492700	48.607500	56.919500	50.875200	58.357000	54.101300	56.694400	52.428100	49.989500	46.594300	52.280100
CG7987	9.393260	9.095840	9.294370	7.918530	9.141090	12.060700	10.001400	9.179420	9.266170	8.344540	9.204370	11.045800
CG8066	20.954400	15.806700	19.082500	16.021000	20.014900	23.661800	19.705900	15.500200	20.663600	17.837500	21.796100	22.360500
CG14852	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CG8087	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CG14851	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CG31233	0.000000	0.064608	0.000000	0.000000	0.000000	0.018069	0.018029	0.000000	0.016516	0.000000	0.000000	0.016864
TwdlT	2.895580	3.373210	2.616650	1.414460	1.680590	0.775978	3.449050	3.990030	1.966720	1.828450	0.606030	2.008140
CG7886	0.000000	0.027403	0.015368	0.044981	0.048694	0.015330	0.000000	0.040328	0.042037	0.014994	0.075254	0.057230
Obp47a	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Spn47C	62.352700	53.070400	50.982500	56.248600	50.160300	57.388400	56.808800	55.255700	49.413200	51.483900	52.165000	56.128300
Tgi	5.487350	6.744970	5.880810	6.263160	6.020340	9.375750	5.704690	7.163340	5.272700	5.787680	5.794030	5.550330
Abp1	6.166660	6.921410	5.795480	6.477180	6.417920	5.931980	6.693830	5.315380	5.520910	6.603770	6.988910	6.140500
Cyp6a20	133.032000	91.363600	87.438200	133.693000	106.822000	176.826000	124.233000	100.675000	109.446000	87.461300	148.846000	136.745000
Spt20	3.194830	3.255640	3.669650	4.002110	3.526290	4.602640	3.202690	2.911780	3.296720	3.012630	3.747930	3.151880
CG10710	0.589849	0.836988	0.877609	0.517705	0.732872	0.671804	0.650062	0.642677	0.558258	0.876156	0.424774	0.665052
Liprin-beta	14.365900	12.652700	12.319700	10.347900	12.220400	11.486900	13.762500	13.745200	11.665000	11.673700	11.389500	12.643900
CG6583	10.680500	11.310600	12.286400	15.555500	9.475910	16.246000	9.441820	11.897000	10.004300	8.474700	11.473200	10.906600
Gr92a	0.099785	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050527	0.063399	0.096430
lncRNA:CR45755	0.000000	0.935494	1.049290	0.511868	0.554114	0.000000	2.088740	0.000000	0.000000	1.535610	0.642268	0.000000
lncRNA:CR45754	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.353614	0.000000	0.197206	0.000000	0.000000
CG31909	0.135316	0.125222	0.280934	0.137070	0.593375	0.560423	0.139831	0.000000	0.318538	0.685209	0.000000	0.261626
CG31908	6.791840	6.534410	4.477370	6.073960	4.211160	6.727630	6.288690	4.158020	6.514540	3.706790	8.633260	4.739810
CG8172	0.000000	0.000000	0.000000	0.000000	0.000000	0.022927	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
lncRNA:CR45749	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
lncRNA:CR45748	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CG31907	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
lncRNA:CR45746	1.341050	6.205210	4.176020	3.395270	1.470190	5.554100	4.156450	4.261690	3.173070	6.111480	1.704090	3.239890
Mur29B	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.053869	0.000000	0.000000	0.000000
lncRNA:CR45752	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.164507	0.000000
lncRNA:TS16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Spn28Da	0.000000	0.000000	0.000000	0.000000	0.000000	0.046391	0.000000	0.000000	0.084811	0.000000	0.000000	0.000000
Dro	2.442560	10.894500	2.251010	2.196190	1.358540	1.283070	0.960188	62.353600	106.114000	10.353500	5.905020	0.898152
CG1307	7.749520	5.783560	4.982080	3.848110	6.029280	5.021390	6.508430	5.810620	6.104180	6.835440	4.637840	5.894520
trpl	645.940000	819.892000	926.915000	1308.150000	673.359000	531.366000	600.187000	863.620000	982.043000	1016.410000	646.062000	566.291000
CG32847	0.090584	0.167587	0.000000	0.183398	0.297811	0.000000	0.187092	0.082213	0.085697	0.275093	0.000000	0.087501
msl-1	8.575440	9.572790	9.324180	9.127310	8.573350	8.776150	9.608990	9.581640	8.577000	8.040480	9.495350	8.997690
Andorra	0.000000	0.237672	0.000000	0.130045	0.000000	0.000000	0.000000	0.116594	0.000000	0.000000	0.081587	0.062047
Dh31-R	4.567390	4.552280	4.569200	5.194720	4.150930	3.830820	5.135180	4.929450	4.986560	4.723270	4.155070	4.212080
Sox15	0.805199	0.886475	0.461128	0.688907	0.821862	0.819331	0.760164	0.680673	0.538709	0.435839	0.705639	0.550053
Cyp317a1	10.477800	12.028900	9.382440	8.809580	6.631680	9.369530	9.736040	13.069500	9.023180	7.093360	5.456850	7.914290
CG33228	26.183500	27.125300	21.798300	24.978000	18.516200	18.690400	26.312400	20.203600	21.228900	24.254000	26.344800	22.107800
Hdc	24.735900	17.540900	13.815200	14.806700	16.853200	18.226100	24.177700	18.846900	11.617400	13.587800	16.618400	22.933900
lncRNA:CR45706	1.494540	1.152570	1.218900	1.297330	1.092310	0.884256	1.066130	0.969279	1.481850	0.900922	1.085220	1.134800
zormin	17.906000	17.793100	18.964800	15.815500	18.038700	17.556100	19.688700	20.177300	17.829000	16.677600	16.655300	17.318400
CG43050	0.156527	0.000000	0.054158	0.052839	0.000000	0.054023	0.000000	0.000000	0.000000	0.105678	0.000000	0.100842
lncRNA:CR43051	211.156000	280.180000	294.782000	238.695000	221.567000	161.713000	267.369000	323.867000	349.764000	530.419000	484.108000	424.472000
CG43052	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.167281	0.000000	0.000000
lncRNA:CR43053	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.107920	0.000000	0.000000	0.000000	0.000000
CG43054	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CG43055	0.000000	0.330822	0.000000	0.241340	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.151411	0.000000
CG43056	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CG43057	0.000000	0.332062	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.339616	0.000000	0.000000	0.173378
lncRNA:CR44601	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
crc	766.205000	748.300000	782.505000	817.760000	647.252000	706.116000	703.130000	729.016000	814.429000	626.432000	727.509000	617.168000
asRNA:CR44599	2.514450	3.723110	2.349000	1.018570	0.964809	3.514680	2.467880	2.168890	3.569680	1.018570	2.236600	1.700930
asRNA:CR44600	0.214469	0.132317	0.667853	0.434393	0.391870	0.370102	0.738581	0.389460	0.270643	0.796388	0.454213	0.207257
lncRNA:CR44605	0.787877	0.000000	0.817815	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
lncRNA:CR44606	0.114724	0.212338	0.297709	0.580918	0.000000	0.000000	0.118525	0.156248	0.054290	0.116184	0.291563	0.055433
GAPcenA	15.477000	14.974100	13.388600	11.783800	15.206100	15.045500	16.172800	15.110200	13.411900	13.117600	13.529100	14.331600
lncRNA:CR44604	0.000000	0.000000	0.000000	0.000000	3.011060	0.000000	0.945856	0.000000	0.000000	0.000000	2.326730	0.000000
CG7083	42.315100	34.770800	42.671900	39.801900	37.370600	40.774700	42.769700	40.157300	41.536800	37.971000	42.150600	46.513400
Pex2	4.733380	4.849730	4.386820	4.736520	4.447900	5.717780	5.181300	5.934990	5.706510	5.021860	4.940700	5.173230
lncRNA:CR44607	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
lncRNA:CR44608	0.000000	0.131540	0.000000	0.000000	0.000000	0.588686	0.146849	0.258116	0.000000	0.000000	0.000000	0.137360
CG13670	0.694168	0.233601	0.327520	0.255636	1.798770	1.698850	1.629930	0.859474	0.298632	1.150360	0.962278	1.402640
CG7185	6.309610	6.366550	5.661620	3.562460	6.417350	6.453700	6.911580	6.315690	6.151600	5.658630	6.303490	6.722340
BI-1	69.102700	64.248800	69.327800	60.782300	53.072000	52.506600	67.392300	66.774400	67.973600	60.063500	62.055200	54.453300
Gr66a	0.658012	0.416645	0.215689	0.561164	0.417641	0.358583	0.250458	0.440228	0.229442	0.245509	0.264046	0.301209
CG18420	0.318151	0.481786	0.090065	0.497942	0.443913	0.389307	0.388454	0.183826	0.246364	0.263616	0.073505	0.447204
CR15280	0.000000	0.087947	0.000000	0.096242	0.000000	0.000000	0.000000	0.000000	0.000000	0.048121	0.000000	0.045919
CG18477	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
dao	18.787100	16.133400	16.936400	18.631300	17.856000	17.220000	16.767300	16.738200	16.858800	15.137300	16.567800	17.612000
CG4587	67.380300	60.624800	54.893800	64.423800	59.536200	50.519100	64.980100	60.401800	56.421800	53.634100	56.576400	49.414800
beat-Ic	7.438990	7.821230	7.268110	10.231900	7.103810	6.786470	7.024850	6.986610	7.746670	7.188230	8.653830	6.066260
beat-Ib	10.328800	8.912750	7.513170	9.068360	8.328690	9.713130	8.365550	9.613590	8.416890	8.259110	8.085750	9.037330
CG6428	5.617870	4.826310	5.652220	5.262150	4.813590	4.585900	5.962480	5.066020	5.026650	4.815540	4.994650	4.669280
mRpL50	7.567640	5.437860	5.175190	2.614740	7.125160	6.360620	6.714610	6.466970	6.319720	5.319650	7.240510	6.452810
CG4701	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
unc-119	63.613800	62.590100	59.535400	58.968600	59.659300	56.078000	60.175900	61.786000	57.918700	56.786600	48.215200	64.561700
CG42779	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR43158	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
asRNA:CR43159	0.344229	0.591609	0.204176	0.298807	0.215645	0.203666	0.863683	0.848345	0.372335	0.697215	0.249952	0.237610
CG5458	0.767433	0.751979	0.609159	0.868629	0.098981	0.794601	0.466388	1.106690	0.683606	0.457173	1.032550	0.392626
CG16974	73.093300	61.183600	53.194600	46.078200	60.320100	65.320600	76.889000	59.434700	52.751200	50.695800	57.208400	67.507600
CG5439	5.001440	4.220070	3.420270	4.498960	4.418720	5.208960	4.255300	3.125370	4.817110	3.605130	4.972160	4.094060
CG5287	19.674300	17.357200	15.508900	15.417400	15.954000	19.895300	20.910000	18.280500	15.779000	15.453100	16.517300	18.398300
DnaJ-H	51.175600	44.655600	40.902500	38.554700	45.454100	45.783600	48.958900	40.294400	41.426400	38.932600	39.454000	50.227000
Sfmbt	12.192100	11.529600	12.421100	11.578000	11.468900	11.359600	12.151800	11.301600	11.377100	11.319000	12.981900	10.187400
CG9928	411.576000	458.594000	483.521000	257.145000	442.679000	290.749000	582.439000	509.782000	418.431000	481.989000	346.513000	443.430000
kmg	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CG5142	3.331370	3.228970	3.593590	2.398890	2.910790	3.072520	3.441750	3.167050	2.760000	3.479190	2.525710	3.218960
CG5122	0.000000	0.000000	0.013062	0.000000	0.013796	0.000000	0.000000	0.011426	0.011910	0.012744	0.000000	0.000000
ClC-c	23.586900	25.040300	23.534100	24.981200	21.631800	24.309300	25.340200	25.760300	23.558200	21.277400	25.095300	23.310400
dgo	2.132900	1.823590	1.709780	2.061270	2.285110	1.807970	1.934730	1.946930	1.992190	2.210780	1.262690	1.903890
pea	4.184530	3.944410	3.590480	3.214400	4.317660	3.487600	4.684560	3.775890	3.384140	3.699840	3.950970	4.231620
CG42778	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
tRNA:Lys-CTT-1-3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
tRNA:Lys-CTT-1-2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
tRNA:Ile-AAT-1-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
tRNA:Ile-AAT-1-3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
tRNA:Ile-AAT-1-4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
tRNA:Ile-AAT-1-5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
